MyFinalPosition,WinnerIndex,MyStrategy,MyPoints,EnemyStrategy2,EnemyPoints2,EnemyStrategy3,EnemyPoints3,EnemyStrategy4,EnemyPoints4,GameSeed,MyTotalWinsQty
3,4,SHOOTER,28,SHERIFF,23,SHOOTER,50,LOW_LAYER,3,1554604497,0
3,3,SHOOTER,34,SHERIFF,53,SHOOTER,17,LOW_LAYER,26,1554604498,0
4,3,SHOOTER,53,SHERIFF,32,SHOOTER,19,LOW_LAYER,26,1554604499,0
4,4,SHOOTER,68,SHERIFF,34,SHOOTER,25,LOW_LAYER,3,1554604500,0
4,3,SHOOTER,59,SHERIFF,59,SHOOTER,38,LOW_LAYER,52,1554604502,0
4,4,SHOOTER,58,SHERIFF,3,SHOOTER,17,LOW_LAYER,0,1554604503,0
3,4,SHOOTER,24,SHERIFF,7,SHOOTER,72,LOW_LAYER,1,1554604504,0
3,4,SHOOTER,43,SHERIFF,41,SHOOTER,82,LOW_LAYER,16,1554604505,0
4,4,SHOOTER,55,SHERIFF,8,SHOOTER,40,LOW_LAYER,1,1554604507,0
2,4,SHOOTER,9,SHERIFF,30,SHOOTER,60,LOW_LAYER,5,1554604508,0
4,4,SHOOTER,61,SHERIFF,10,SHOOTER,7,LOW_LAYER,0,1554604509,0
4,4,SHOOTER,54,SHERIFF,35,SHOOTER,33,LOW_LAYER,8,1554604510,0
3,4,SHOOTER,37,SHERIFF,6,SHOOTER,59,LOW_LAYER,2,1554604511,0
4,4,SHOOTER,66,SHERIFF,41,SHOOTER,49,LOW_LAYER,26,1554604513,0
3,4,SHOOTER,26,SHERIFF,1,SHOOTER,51,LOW_LAYER,0,1554604514,0
3,2,SHOOTER,26,SHERIFF,3,SHOOTER,51,LOW_LAYER,24,1554604515,0
3,4,SHOOTER,51,SHERIFF,17,SHOOTER,54,LOW_LAYER,8,1554604516,0
3,4,SHOOTER,13,SHERIFF,6,SHOOTER,59,LOW_LAYER,0,1554604517,0
3,4,SHOOTER,14,SHERIFF,13,SHOOTER,51,LOW_LAYER,0,1554604519,0
4,4,SHOOTER,56,SHERIFF,18,SHOOTER,30,LOW_LAYER,0,1554604520,0
1,1,SHOOTER,31,SHERIFF,62,SHOOTER,41,LOW_LAYER,48,1554604521,1
4,2,SHOOTER,54,SHERIFF,6,SHOOTER,24,LOW_LAYER,20,1554604522,1
3,2,SHOOTER,33,SHERIFF,19,SHOOTER,56,LOW_LAYER,22,1554604523,1
4,4,SHOOTER,50,SHERIFF,31,SHOOTER,16,LOW_LAYER,7,1554604525,1
4,4,SHOOTER,57,SHERIFF,54,SHOOTER,44,LOW_LAYER,27,1554604526,1
4,4,SHOOTER,66,SHERIFF,46,SHOOTER,29,LOW_LAYER,15,1554604527,1
4,2,SHOOTER,52,SHERIFF,6,SHOOTER,28,LOW_LAYER,18,1554604528,1
3,4,SHOOTER,47,SHERIFF,18,SHOOTER,58,LOW_LAYER,7,1554604530,1
4,4,SHOOTER,58,SHERIFF,4,SHOOTER,42,LOW_LAYER,0,1554604531,1
4,4,SHOOTER,62,SHERIFF,30,SHOOTER,35,LOW_LAYER,3,1554604532,1
4,4,SHOOTER,60,SHERIFF,42,SHOOTER,24,LOW_LAYER,4,1554604533,1
4,4,SHOOTER,61,SHERIFF,8,SHOOTER,31,LOW_LAYER,4,1554604535,1
3,4,SHOOTER,35,SHERIFF,12,SHOOTER,53,LOW_LAYER,4,1554604536,1
4,4,SHOOTER,60,SHERIFF,41,SHOOTER,54,LOW_LAYER,27,1554604537,1
4,4,SHOOTER,76,SHERIFF,25,SHOOTER,37,LOW_LAYER,18,1554604538,1
4,3,SHOOTER,56,SHERIFF,43,SHOOTER,28,LOW_LAYER,29,1554604540,1
2,4,SHOOTER,41,SHERIFF,42,SHOOTER,53,LOW_LAYER,20,1554604541,1
3,4,SHOOTER,27,SHERIFF,50,SHOOTER,27,LOW_LAYER,0,1554604542,1
4,2,SHOOTER,61,SHERIFF,12,SHOOTER,39,LOW_LAYER,18,1554604543,1
4,4,SHOOTER,55,SHERIFF,11,SHOOTER,31,LOW_LAYER,7,1554604544,1
4,4,SHOOTER,53,SHERIFF,28,SHOOTER,43,LOW_LAYER,6,1554604546,1
4,3,SHOOTER,53,SHERIFF,46,SHOOTER,13,LOW_LAYER,44,1554604547,1
4,3,SHOOTER,74,SHERIFF,50,SHOOTER,33,LOW_LAYER,51,1554604548,1
4,3,SHOOTER,64,SHERIFF,7,SHOOTER,3,LOW_LAYER,4,1554604549,1
4,3,SHOOTER,51,SHERIFF,22,SHOOTER,13,LOW_LAYER,18,1554604551,1
4,3,SHOOTER,61,SHERIFF,36,SHOOTER,15,LOW_LAYER,44,1554604552,1
4,4,SHOOTER,67,SHERIFF,5,SHOOTER,6,LOW_LAYER,0,1554604553,1
4,2,SHOOTER,55,SHERIFF,5,SHOOTER,10,LOW_LAYER,8,1554604554,1
3,4,SHOOTER,39,SHERIFF,5,SHOOTER,59,LOW_LAYER,1,1554604555,1
1,1,SHOOTER,46,SHERIFF,54,SHOOTER,55,LOW_LAYER,53,1554604557,2
4,4,SHOOTER,51,SHERIFF,23,SHOOTER,51,LOW_LAYER,5,1554604558,2
2,4,SHOOTER,19,SHERIFF,65,SHOOTER,20,LOW_LAYER,0,1554604559,2
4,2,SHOOTER,55,SHERIFF,2,SHOOTER,43,LOW_LAYER,4,1554604560,2
4,4,SHOOTER,54,SHERIFF,6,SHOOTER,18,LOW_LAYER,0,1554604561,2
4,4,SHOOTER,52,SHERIFF,1,SHOOTER,25,LOW_LAYER,0,1554604563,2
4,4,SHOOTER,51,SHERIFF,36,SHOOTER,43,LOW_LAYER,0,1554604564,2
